timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/04 03:03:54.853, NVIDIA GeForce RTX 4090, 85 %, 50 %, 19206 MiB, 49140 MiB, 403.51 W
2026/08/04 03:03:55.856, NVIDIA GeForce RTX 4090, 91 %, 49 %, 19206 MiB, 49140 MiB, 402.00 W
2026/08/04 03:03:56.860, NVIDIA GeForce RTX 4090, 94 %, 42 %, 19206 MiB, 49140 MiB, 406.61 W
2026/08/04 03:03:57.861, NVIDIA GeForce RTX 4090, 96 %, 35 %, 19206 MiB, 49140 MiB, 407.43 W
2026/08/04 03:03:58.861, NVIDIA GeForce RTX 4090, 97 %, 32 %, 19206 MiB, 49140 MiB, 407.17 W
2026/08/04 03:03:59.864, NVIDIA GeForce RTX 4090, 98 %, 35 %, 19206 MiB, 49140 MiB, 406.76 W
2026/08/04 03:04:00.865, NVIDIA GeForce RTX 4090, 99 %, 43 %, 19206 MiB, 49140 MiB, 405.94 W
2026/08/04 03:04:01.865, NVIDIA GeForce RTX 4090, 100 %, 52 %, 19206 MiB, 49140 MiB, 407.87 W
2026/08/04 03:04:02.865, NVIDIA GeForce RTX 4090, 91 %, 51 %, 19206 MiB, 49140 MiB, 405.02 W
2026/08/04 03:04:03.868, NVIDIA GeForce RTX 4090, 88 %, 48 %, 19206 MiB, 49140 MiB, 405.85 W
2026/08/04 03:04:04.869, NVIDIA GeForce RTX 4090, 88 %, 47 %, 19206 MiB, 49140 MiB, 401.61 W
2026/08/04 03:04:05.869, NVIDIA GeForce RTX 4090, 92 %, 45 %, 19206 MiB, 49140 MiB, 400.95 W
2026/08/04 03:04:06.872, NVIDIA GeForce RTX 4090, 92 %, 39 %, 19206 MiB, 49140 MiB, 405.56 W
2026/08/04 03:04:07.876, NVIDIA GeForce RTX 4090, 96 %, 34 %, 19206 MiB, 49140 MiB, 407.64 W
2026/08/04 03:04:08.877, NVIDIA GeForce RTX 4090, 97 %, 32 %, 19206 MiB, 49140 MiB, 406.66 W
2026/08/04 03:04:09.877, NVIDIA GeForce RTX 4090, 98 %, 34 %, 19206 MiB, 49140 MiB, 405.99 W
2026/08/04 03:04:10.877, NVIDIA GeForce RTX 4090, 98 %, 42 %, 19206 MiB, 49140 MiB, 408.32 W
2026/08/04 03:04:11.878, NVIDIA GeForce RTX 4090, 99 %, 51 %, 19206 MiB, 49140 MiB, 408.17 W
2026/08/04 03:04:12.878, NVIDIA GeForce RTX 4090, 0 %, 0 %, 19206 MiB, 49140 MiB, 304.00 W
2026/08/04 03:04:13.878, NVIDIA GeForce RTX 4090, 0 %, 0 %, 19206 MiB, 49140 MiB, 94.16 W
2026/08/04 03:04:14.879, NVIDIA GeForce RTX 4090, 0 %, 0 %, 19206 MiB, 49140 MiB, 87.61 W
2026/08/04 03:04:15.880, NVIDIA GeForce RTX 4090, 56 %, 23 %, 19206 MiB, 49140 MiB, 85.33 W
2026/08/04 03:04:16.883, NVIDIA GeForce RTX 4090, 89 %, 52 %, 19206 MiB, 49140 MiB, 374.48 W
2026/08/04 03:04:17.883, NVIDIA GeForce RTX 4090, 89 %, 51 %, 19206 MiB, 49140 MiB, 401.36 W
