timestamp, name, utilization.gpu [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/14 05:51:42.405, NVIDIA GeForce RTX 4090, 41 %, 19206 MiB, 49140 MiB, 286.05 W
2026/08/14 05:51:43.405, NVIDIA GeForce RTX 4090, 53 %, 19206 MiB, 49140 MiB, 285.52 W
2026/08/14 05:51:44.405, NVIDIA GeForce RTX 4090, 83 %, 19206 MiB, 49140 MiB, 295.15 W
2026/08/14 05:51:45.406, NVIDIA GeForce RTX 4090, 64 %, 19206 MiB, 49140 MiB, 298.47 W
2026/08/14 05:51:46.406, NVIDIA GeForce RTX 4090, 39 %, 19206 MiB, 49140 MiB, 276.15 W
2026/08/14 05:51:47.406, NVIDIA GeForce RTX 4090, 36 %, 19206 MiB, 49140 MiB, 275.53 W
2026/08/14 05:51:48.406, NVIDIA GeForce RTX 4090, 38 %, 19206 MiB, 49140 MiB, 280.20 W
2026/08/14 05:51:49.406, NVIDIA GeForce RTX 4090, 53 %, 19206 MiB, 49140 MiB, 277.55 W
2026/08/14 05:51:50.406, NVIDIA GeForce RTX 4090, 63 %, 19206 MiB, 49140 MiB, 282.72 W
2026/08/14 05:51:51.407, NVIDIA GeForce RTX 4090, 72 %, 19206 MiB, 49140 MiB, 298.20 W
2026/08/14 05:51:52.407, NVIDIA GeForce RTX 4090, 20 %, 19206 MiB, 49140 MiB, 281.25 W
2026/08/14 05:51:53.407, NVIDIA GeForce RTX 4090, 33 %, 19206 MiB, 49140 MiB, 266.29 W
2026/08/14 05:51:54.407, NVIDIA GeForce RTX 4090, 35 %, 19206 MiB, 49140 MiB, 274.62 W
2026/08/14 05:51:55.407, NVIDIA GeForce RTX 4090, 42 %, 19206 MiB, 49140 MiB, 274.39 W
2026/08/14 05:51:56.408, NVIDIA GeForce RTX 4090, 67 %, 19206 MiB, 49140 MiB, 287.10 W
2026/08/14 05:51:57.408, NVIDIA GeForce RTX 4090, 68 %, 19206 MiB, 49140 MiB, 300.74 W
2026/08/14 05:51:58.408, NVIDIA GeForce RTX 4090, 67 %, 19206 MiB, 49140 MiB, 288.08 W
2026/08/14 05:51:59.408, NVIDIA GeForce RTX 4090, 48 %, 19206 MiB, 49140 MiB, 273.71 W
2026/08/14 05:52:00.409, NVIDIA GeForce RTX 4090, 40 %, 19206 MiB, 49140 MiB, 276.80 W
2026/08/14 05:52:01.409, NVIDIA GeForce RTX 4090, 34 %, 19206 MiB, 49140 MiB, 279.08 W
2026/08/14 05:52:02.409, NVIDIA GeForce RTX 4090, 38 %, 19206 MiB, 49140 MiB, 285.19 W
2026/08/14 05:52:03.409, NVIDIA GeForce RTX 4090, 81 %, 19206 MiB, 49140 MiB, 382.84 W
2026/08/14 05:52:04.410, NVIDIA GeForce RTX 4090, 32 %, 19206 MiB, 49140 MiB, 289.10 W
2026/08/14 05:52:05.410, NVIDIA GeForce RTX 4090, 35 %, 19206 MiB, 49140 MiB, 277.22 W
2026/08/14 05:52:06.410, NVIDIA GeForce RTX 4090, 40 %, 19206 MiB, 49140 MiB, 280.33 W
2026/08/14 05:52:07.410, NVIDIA GeForce RTX 4090, 67 %, 19206 MiB, 49140 MiB, 292.29 W
2026/08/14 05:52:08.411, NVIDIA GeForce RTX 4090, 74 %, 19206 MiB, 49140 MiB, 291.20 W
2026/08/14 05:52:09.411, NVIDIA GeForce RTX 4090, 28 %, 19206 MiB, 49140 MiB, 291.11 W
2026/08/14 05:52:10.411, NVIDIA GeForce RTX 4090, 32 %, 19206 MiB, 49140 MiB, 276.87 W
2026/08/14 05:52:11.411, NVIDIA GeForce RTX 4090, 35 %, 19206 MiB, 49140 MiB, 277.21 W
2026/08/14 05:52:12.412, NVIDIA GeForce RTX 4090, 65 %, 19206 MiB, 49140 MiB, 282.72 W
2026/08/14 05:52:13.483, NVIDIA GeForce RTX 4090, 44 %, 19206 MiB, 49140 MiB, 268.16 W
2026/08/14 05:52:14.484, NVIDIA GeForce RTX 4090, 49 %, 19206 MiB, 49140 MiB, 278.33 W
2026/08/14 05:52:15.484, NVIDIA GeForce RTX 4090, 79 %, 19206 MiB, 49140 MiB, 290.22 W
2026/08/14 05:52:16.484, NVIDIA GeForce RTX 4090, 89 %, 19206 MiB, 49140 MiB, 299.38 W
2026/08/14 05:52:17.485, NVIDIA GeForce RTX 4090, 55 %, 19206 MiB, 49140 MiB, 294.33 W
2026/08/14 05:52:18.485, NVIDIA GeForce RTX 4090, 18 %, 19206 MiB, 49140 MiB, 275.98 W
2026/08/14 05:52:19.485, NVIDIA GeForce RTX 4090, 43 %, 19206 MiB, 49140 MiB, 283.02 W
2026/08/14 05:52:20.485, NVIDIA GeForce RTX 4090, 45 %, 19206 MiB, 49140 MiB, 272.57 W
2026/08/14 05:52:21.485, NVIDIA GeForce RTX 4090, 47 %, 19206 MiB, 49140 MiB, 275.45 W
2026/08/14 05:52:22.486, NVIDIA GeForce RTX 4090, 78 %, 19206 MiB, 49140 MiB, 297.78 W
2026/08/14 05:52:23.486, NVIDIA GeForce RTX 4090, 87 %, 19206 MiB, 49140 MiB, 289.82 W
2026/08/14 05:52:24.486, NVIDIA GeForce RTX 4090, 76 %, 19206 MiB, 49140 MiB, 291.85 W
2026/08/14 05:52:25.486, NVIDIA GeForce RTX 4090, 32 %, 19206 MiB, 49140 MiB, 270.76 W
2026/08/14 05:52:26.486, NVIDIA GeForce RTX 4090, 32 %, 19206 MiB, 49140 MiB, 274.71 W
2026/08/14 05:52:27.486, NVIDIA GeForce RTX 4090, 42 %, 19206 MiB, 49140 MiB, 267.31 W
2026/08/14 05:52:28.486, NVIDIA GeForce RTX 4090, 39 %, 19206 MiB, 49140 MiB, 272.58 W
2026/08/14 05:52:29.487, NVIDIA GeForce RTX 4090, 49 %, 19206 MiB, 49140 MiB, 277.08 W
2026/08/14 05:52:30.487, NVIDIA GeForce RTX 4090, 63 %, 19206 MiB, 49140 MiB, 280.20 W
2026/08/14 05:52:31.487, NVIDIA GeForce RTX 4090, 78 %, 19206 MiB, 49140 MiB, 286.21 W
2026/08/14 05:52:32.487, NVIDIA GeForce RTX 4090, 85 %, 19206 MiB, 49140 MiB, 303.99 W
2026/08/14 05:52:33.487, NVIDIA GeForce RTX 4090, 35 %, 19206 MiB, 49140 MiB, 291.05 W
2026/08/14 05:52:34.488, NVIDIA GeForce RTX 4090, 35 %, 19206 MiB, 49140 MiB, 271.29 W
2026/08/14 05:52:35.488, NVIDIA GeForce RTX 4090, 38 %, 19206 MiB, 49140 MiB, 277.19 W
2026/08/14 05:52:36.488, NVIDIA GeForce RTX 4090, 51 %, 19206 MiB, 49140 MiB, 275.60 W
2026/08/14 05:52:37.488, NVIDIA GeForce RTX 4090, 83 %, 19206 MiB, 49140 MiB, 298.01 W
2026/08/14 05:52:38.488, NVIDIA GeForce RTX 4090, 73 %, 19206 MiB, 49140 MiB, 287.59 W
2026/08/14 05:52:39.489, NVIDIA GeForce RTX 4090, 55 %, 19206 MiB, 49140 MiB, 298.46 W
2026/08/14 05:52:40.489, NVIDIA GeForce RTX 4090, 42 %, 19206 MiB, 49140 MiB, 286.62 W
